Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jared Abbrederis,WR,Wisconsin,College Stats,6-1,195,4.50,30.5,4,117,6.80,4.08,Green Bay Packers / 5th / 176th pick /2014
Davante Adams,WR,Fresno State,College Stats,6-1,212,4.56,39.5,14,123,6.82,4.30,Green Bay Packers / 2nd / 53rd pick /2014
Jace Amaro,TE,Texas Tech,College Stats,6-5,265,4.74,33.0,28,118,7.42,4.30,New York Jets / 2nd / 49th pick /2014
Antonio Andrews,RB,Western Kentucky,College Stats,5-10,225,4.82,29.5,20,106,7.24,4.49,
Dri Archer,WR,Kent State,College Stats,5-8,173,4.26,38.0,20,122,6.86,4.06,Pittsburgh Steelers / 3rd / 97th pick /2014
George Atkinson,RB,Notre Dame,,6-1,218,4.48,38.0,19,121,7.07,4.46,
Kelvin Benjamin,WR,Florida State,College Stats,6-5,240,4.61,32.5,13,119,7.33,4.39,Carolina Panthers / 1st / 28th pick /2014
Kapri Bibbs,RB,Colorado State,College Stats,5-9,212,4.67,29.0,24,106,,,
Alfred Blue,RB,LSU,College Stats,6-2,223,4.63,32.0,13,121,7.15,4.50,Houston Texans / 6th / 181st pick /2014
Blake Bortles,QB,Central Florida,College Stats,6-5,232,4.93,32.5,,115,7.08,4.21,Jacksonville Jaguars / 1st / 3rd pick /2014
Teddy Bridgewater,QB,Louisville,College Stats,6-2,214,,30.0,,113,7.17,4.20,Minnesota Vikings / 1st / 32nd pick /2014
John Brown,WR,Pittsburg State,,5-10,179,4.34,36.5,,119,6.91,4.12,Arizona Cardinals / 3rd / 91st pick /2014
Corey Brown,WR,Ohio State,College Stats,5-11,178,4.51,33.0,,116,7.16,4.22,
Martavis Bryant,WR,Clemson,College Stats,6-4,211,4.42,39.0,16,124,7.18,4.15,Pittsburgh Steelers / 4th / 118th pick /2014
Isaiah Burse,WR,Fresno State,College Stats,5-10,188,4.58,31.0,16,115,6.74,3.94,
Trey Burton,WR,Florida,College Stats,6-2,224,4.62,30.0,,112,7.14,4.32,
Michael Campanaro,WR,Wake Forest,College Stats,5-9,192,4.46,39.0,20,122,6.77,4.01,Baltimore Ravens / 7th / 218th pick /2014
Ka'Deem Carey,RB,Arizona,College Stats,5-9,207,4.69,32.5,19,115,7.08,4.38,Chicago Bears / 4th / 117th pick /2014
