Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Dante Pettis,WR,Washington,College Stats,6-0,186,,,,,,,San Francisco 49ers / 2nd / 44th pick /2018
Josh Adams,RB,Notre Dame,College Stats,6-2,213,,,18,,,,
Jordan Akins,TE,Central Florida,College Stats,6-3,249,,,,,,,Houston Texans / 3rd / 98th pick /2018
Josh Allen,QB,Wyoming,College Stats,6-5,237,4.75,33.5,,119,6.90,4.40,Buffalo Bills / 1st / 7th pick /2018
Mark Andrews,TE,Oklahoma,College Stats,6-5,256,4.67,31.0,17,113,7.34,4.38,Baltimore Ravens / 3rd / 86th pick /2018
Marcell Ateman,WR,Oklahoma State,College Stats,6-4,216,4.62,34.0,13,121,7.07,4.25,Oakland Raiders / 7th / 228th pick /2018
Kalen Ballage,RB,Arizona State,College Stats,6-1,228,4.46,33.5,15,122,6.91,4.35,Miami Dolphins / 4th / 131st pick /2018
Saquon Barkley,RB,Penn State,College Stats,6-0,233,4.40,41.0,29,,,4.24,New York Giants / 1st / 2nd pick /2018
Marcus Baugh,TE,Ohio State,College Stats,6-3,247,4.81,33.0,,117,7.28,4.51,
Nick Bawden,FB,San Diego State,College Stats,6-2,245,,,,,,,Detroit Lions / 7th / 237th pick /2018
Kurt Benkert,QB,Virginia,College Stats,6-3,218,4.95,31.0,16,112,7.15,4.33,
Braxton Berrios,WR,Miami (FL),College Stats,5-9,184,,,11,,,,New England Patriots / 6th / 210th pick /2018
Tony Brown,CB,Alabama,College Stats,6-0,198,4.35,31.5,14,126,6.78,4.11,
Deontay Burnett,WR,USC,College Stats,6-0,186,,,,,,,
Deon Cain,WR,Clemson,College Stats,6-2,202,4.43,33.5,11,115,6.71,4.37,Indianapolis Colts / 6th / 185th pick /2018
Antonio Callaway,WR,Florida,College Stats,5-11,200,4.41,34.0,,121,,,Cleveland Browns / 4th / 105th pick /2018
Nick Chubb,RB,Georgia,College Stats,5-11,227,4.52,38.5,29,128,7.09,4.25,Cleveland Browns / 2nd / 35th pick /2018
Lavon Coleman,RB,Washington,College Stats,5-11,215,4.65,33.0,23,120,,,
Tyler Conklin,TE,Central Michigan,College Stats,6-3,254,4.80,38.0,18,120,7.13,4.23,Minnesota Vikings / 5th / 157th pick /2018
Keke Coutee,WR,Texas Tech,College Stats,5-10,181,4.43,34.5,14,113,6.93,4.15,Houston Texans / 4th / 103rd pick /2018
Sam Darnold,QB,USC,College Stats,6-3,221,4.85,26.5,,105,6.96,4.40,New York Jets / 1st / 3rd pick /2018
Will Dissly,TE,Washington,College Stats,6-4,262,4.87,28.0,15,111,7.07,4.40,Seattle Seahawks / 4th / 120th pick /2018
Chase Edmonds,RB,Fordham,,5-9,205,4.55,34.0,19,122,6.79,4.07,Arizona Cardinals / 4th / 134th pick /2018
Donnie Ernsberger,RB,Western Michigan,,6-3,241,4.78,31.0,15,114,7.09,4.34,
Luke Falk,QB,Washington State,College Stats,6-4,215,,26.5,,103,,,Tennessee Titans / 6th / 199th pick /2018
Robert Foster,WR,Alabama,College Stats,6-2,196,4.41,31.0,,116,6.90,4.20,
Royce Freeman,RB,Oregon,College Stats,5-11,229,4.54,34.0,17,118,6.90,4.16,Denver Broncos / 3rd / 71st pick /2018
Troy Fumagalli,TE,Wisconsin,College Stats,6-5,247,,,14,,,,Denver Broncos / 5th / 156th pick /2018
Michael Gallup,WR,Colorado State,College Stats,6-1,205,4.51,36.0,10,122,6.95,4.37,Dallas Cowboys / 3rd / 81st pick /2018
Mike Gesicki,TE,Penn State,College Stats,6-5,247,4.54,41.5,22,129,6.76,4.10,Miami Dolphins / 2nd / 42nd pick /2018
Dallas Goedert,TE,South Dakota State,,6-5,256,,,23,,,,Philadelphia Eagles / 2nd / 49th pick /2018
Derrius Guice,RB,LSU,College Stats,5-10,224,4.49,31.5,15,,,,Washington Redskins / 2nd / 59th pick /2018
Quadree Henderson,WR,Pittsburgh,College Stats,5-8,192,4.50,32.5,12,120,6.89,4.28,
Chris Herndon,TE,Miami (FL),,6-4,253,,,21,,,,New York Jets / 4th / 107th pick /2018
