Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
1,Adrian Peterson,RB1,1.0,,,1.0
2,Le'Veon Bell,RB2,4.0,,,3.0
3,Eddie Lacy,RB3,2.0,,,3.0
4,Jamaal Charles,RB4,3.0,,,3.3
5,Marshawn Lynch,RB5,5.0,,,4.8
6,Antonio Brown,WR1,7.0,,,6.8
7,Dez Bryant,WR2,13.0,,,10.2
8,Andrew Luck,QB1,6.0,,,10.8
9,Matt Forte,RB6,8.0,,,10.8
10,C.J. Anderson,RB7,9.0,,,11.3
11,DeMarco Murray,RB8,10.0,,,12.0
12,Rob Gronkowski,TE1,14.0,,,12.2
13,Aaron Rodgers,QB2,11.0,,,12.3
14,Demaryius Thomas,WR3,12.0,,,12.5
15,Jeremy Hill,RB9,17.0,,,14.0
16,Julio Jones,WR4,16.0,,,14.0
17,Odell Beckham Jr.,WR5,15.0,,,14.5
18,Calvin Johnson,WR6,18.0,,,16.8
19,LeSean McCoy,RB10,21.0,,,18.0
20,Randall Cobb,WR7,19.0,,,20.3
21,A.J. Green,WR8,23.0,,,20.3
22,T.Y. Hilton,WR9,25.0,,,24.2
23,Justin Forsett,RB11,22.0,,,24.5
24,Alshon Jeffery,WR10,30.0,,,25.3
25,Jimmy Graham,TE2,27.0,,,27.5
26,Lamar Miller,RB12,24.0,,,28.7
27,Mike Evans TB (6),WR11,32.0,,,29.2
28,Mark Ingram II,RB13,34.0,,,29.8
29,Peyton Manning,QB3,20.0,,,30.0
30,Brandin Cooks NO (11),WR12,31.0,,,31.5
31,Frank Gore,RB14,35.0,,,32.2
32,Emmanuel Sanders,WR13,29.0,,,32.7
33,DeAndre Hopkins BAL (9),WR14,43.0,,,34.7
34,Russell Wilson NYG (11),QB4,36.0,,,35.5
35,Drew Brees,QB5,26.0,,,35.5
36,Alfred Morris,RB15,37.0,,,35.8
37,Jordan Matthews,TE3,40.0,,,36.0
38,Melvin Gordon III,RB16,28.0,,,36.3
39,Latavius Murray,RB17,33.0,,,39.2
40,Carlos Hyde,RB18,44.0,,,41.0
